id,location,fault_severity,severity_type,resource_type,event_count,unique_event_count,log_feature_count,unique_log_features,total_log_volume,mean_log_volume,max_log_volume,min_log_volume,date
14752,location 653,0,severity_type 2,resource_type 8,2,2,2,2,6,3.0,5,1,2025-03-02
14992,location 600,2,severity_type 2,resource_type 8,1,1,2,2,3,1.5,2,1,2025-10-04
967,location 892,2,severity_type 1,resource_type 2,3,3,6,6,27,4.5,6,1,2025-09-13
8059,location 802,0,severity_type 4,resource_type 7,1,1,1,1,2,2.0,2,2,2025-05-10
13406,location 794,0,severity_type 1,resource_type 4,4,4,5,5,10,2.0,3,1,2025-01-25
11424,location 477,0,severity_type 2,resource_type 2,2,2,7,7,162,23.142857142857142,67,1,2025-12-21
3945,location 684,2,severity_type 2,resource_type 8,1,1,3,3,63,21.0,44,1,2025-06-12
10351,location 895,2,severity_type 1,resource_type 2,3,3,6,6,262,43.66666666666666,54,10,2025-11-22
2272,location 496,0,severity_type 2,resource_type 2,2,2,6,6,53,8.833333333333334,24,1,2025-09-05
10752,location 321,1,severity_type 2,resource_type 2,2,2,3,3,6,2.0,2,2,2025-10-12
17096,location 1107,2,severity_type 1,resource_type 8,2,2,6,6,674,112.33333333333331,413,1,2025-10-05
17314,location 1086,2,severity_type 2,resource_type 8,1,1,2,2,30,15.0,16,14,2025-03-13
12770,location 895,1,severity_type 1,resource_type 2,3,3,6,6,38,6.333333333333333,12,1,2025-05-13
3304,location 1099,1,severity_type 2,resource_type 8,1,1,2,2,8,4.0,5,3,2025-06-20
9012,location 975,0,severity_type 1,resource_type 2,1,1,2,2,2,1.0,1,1,2025-07-01
9928,location 1019,2,severity_type 2,resource_type 8,1,1,2,2,94,47.0,72,22,2025-01-16
297,location 812,2,severity_type 1,resource_type 8,2,2,4,4,23,5.75,11,1,2025-07-19
5751,location 342,0,severity_type 2,resource_type 2,2,2,2,2,7,3.5,4,3,2025-02-26
17692,location 744,1,severity_type 2,resource_type 8,2,2,2,2,3,1.5,2,1,2025-09-29
3688,location 181,0,severity_type 4,resource_type 2,1,1,2,2,3,1.5,2,1,2025-09-07
3425,location 1086,1,severity_type 2,resource_type 8,1,1,2,2,23,11.5,20,3,2025-12-03
7871,location 1052,1,severity_type 1,resource_type 8,2,2,3,3,14,4.666666666666667,9,1,2025-09-29
10013,location 696,0,severity_type 2,resource_type 8,1,1,2,2,2,1.0,1,1,2025-05-14
13832,location 1008,1,severity_type 2,resource_type 8,1,1,3,3,14,4.666666666666667,12,1,2025-12-20
11743,location 798,1,severity_type 2,resource_type 8,1,1,2,2,17,8.5,12,5,2025-05-30
10099,location 760,1,severity_type 1,resource_type 8,2,2,2,2,128,64.0,107,21,2025-04-29
16682,location 777,1,severity_type 2,resource_type 8,1,1,2,2,5,2.5,4,1,2025-11-27
10156,location 95,1,severity_type 2,resource_type 2,2,2,7,7,26,3.7142857142857135,6,1,2025-05-16
16154,location 699,0,severity_type 5,resource_type 2,1,1,1,1,1,1.0,1,1,2025-01-28
14176,location 272,1,severity_type 1,resource_type 2,2,2,3,3,5,1.6666666666666667,2,1,2025-06-21
14964,location 704,2,severity_type 2,resource_type 8,1,1,4,4,35,8.75,22,1,2025-10-18
12896,location 613,2,severity_type 1,resource_type 8,2,2,2,2,17,8.5,10,7,2025-03-11
7288,location 846,2,severity_type 2,resource_type 8,1,1,2,2,47,23.5,29,18,2025-06-18
15882,location 795,0,severity_type 1,resource_type 8,2,2,3,3,191,63.66666666666666,135,3,2025-02-17
12441,location 826,1,severity_type 1,resource_type 7,3,3,8,8,20,2.5,4,1,2025-09-08
17248,location 112,0,severity_type 2,resource_type 8,3,3,5,5,5,1.0,1,1,2025-06-23
16745,location 778,0,severity_type 2,resource_type 8,1,1,2,2,2,1.0,1,1,2025-05-01
5315,location 810,0,severity_type 1,resource_type 8,2,2,4,4,13,3.25,7,1,2025-03-24
17118,location 895,1,severity_type 1,resource_type 2,2,2,2,2,2,1.0,1,1,2025-07-26
7725,location 690,0,severity_type 1,resource_type 8,1,1,2,2,4,2.0,2,2,2025-09-02
2311,location 494,0,severity_type 1,resource_type 8,5,5,10,10,20,2.0,5,1,2025-12-10
4292,location 1095,0,severity_type 2,resource_type 8,1,1,1,1,1,1.0,1,1,2025-06-09
15773,location 445,0,severity_type 2,resource_type 2,2,2,2,2,14,7.0,7,7,2025-02-28
6531,location 478,0,severity_type 2,resource_type 2,2,2,10,10,219,21.9,52,1,2025-10-31
16009,location 661,0,severity_type 2,resource_type 7,2,2,2,2,2,1.0,1,1,2025-08-18
11930,location 380,0,severity_type 2,resource_type 2,2,2,2,2,11,5.5,7,4,2025-09-13
8541,location 242,0,severity_type 2,resource_type 2,2,2,2,2,14,7.0,8,6,2025-02-05
11019,location 1082,0,severity_type 1,resource_type 8,1,1,3,3,5,1.6666666666666667,2,1,2025-04-25
8274,location 181,0,severity_type 2,resource_type 2,2,2,6,6,8,1.3333333333333333,2,1,2025-10-08
722,location 1007,0,severity_type 1,resource_type 8,2,2,2,2,5,2.5,3,2,2025-10-31
12305,location 131,1,severity_type 2,resource_type 2,2,2,2,2,2,1.0,1,1,2025-06-08
11444,location 1007,1,severity_type 1,resource_type 8,2,2,2,2,18,9.0,12,6,2025-10-21
4006,location 931,1,severity_type 1,resource_type 8,2,2,4,4,10,2.5,7,1,2025-11-04
9231,location 980,1,severity_type 1,resource_type 8,1,1,2,2,2,1.0,1,1,2025-05-22
6821,location 118,0,severity_type 1,resource_type 2,3,3,5,5,27,5.4,13,1,2025-11-24
12888,location 373,0,severity_type 2,resource_type 2,1,1,1,1,1,1.0,1,1,2025-04-16
6779,location 169,0,severity_type 2,resource_type 2,2,2,4,4,5,1.25,2,1,2025-03-29
11232,location 421,0,severity_type 1,resource_type 2,3,3,6,6,14,2.333333333333333,3,1,2025-09-07
11685,location 779,2,severity_type 2,resource_type 8,1,1,4,4,49,12.25,42,1,2025-08-21
1318,location 690,1,severity_type 1,resource_type 8,2,2,4,4,6,1.5,2,1,2025-02-21
909,location 59,1,severity_type 2,resource_type 8,1,1,2,2,4,2.0,3,1,2025-10-31
18511,location 648,1,severity_type 1,resource_type 6,2,2,3,3,5,1.6666666666666667,2,1,2025-03-14
16460,location 478,0,severity_type 2,resource_type 2,2,2,6,6,91,15.166666666666666,37,1,2025-10-21
12008,location 118,0,severity_type 2,resource_type 2,2,2,2,2,26,13.0,13,13,2025-01-03
6811,location 124,0,severity_type 2,resource_type 2,2,2,8,8,37,4.625,7,2,2025-10-18
16071,location 7,0,severity_type 1,resource_type 8,1,1,6,6,20,3.333333333333333,7,1,2025-10-15
4486,location 12,0,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-10-12
183,location 1026,1,severity_type 1,resource_type 6,2,2,2,2,8,4.0,6,2,2025-08-31
5729,location 270,0,severity_type 4,resource_type 2,1,1,1,1,1,1.0,1,1,2025-06-22
15368,location 1106,0,severity_type 1,resource_type 8,1,1,2,2,51,25.5,27,24,2025-09-15
5064,location 1090,0,severity_type 1,resource_type 8,1,1,2,2,16,8.0,10,6,2025-04-12
11530,location 522,0,severity_type 2,resource_type 2,2,2,2,2,8,4.0,5,3,2025-10-12
14860,location 1007,0,severity_type 1,resource_type 8,2,2,2,2,3,1.5,2,1,2025-07-22
13166,location 836,0,severity_type 1,resource_type 8,1,1,2,2,2,1.0,1,1,2025-06-17
14528,location 145,0,severity_type 2,resource_type 2,2,2,6,6,17,2.833333333333333,4,2,2025-07-04
4202,location 895,1,severity_type 2,resource_type 2,4,4,5,5,16,3.2,5,1,2025-07-27
3916,location 1020,1,severity_type 1,resource_type 8,1,1,6,6,13,2.1666666666666665,4,1,2025-01-14
11454,location 804,1,severity_type 1,resource_type 2,1,1,2,2,2,1.0,1,1,2025-02-21
12297,location 1055,0,severity_type 1,resource_type 8,2,2,2,2,248,124.0,167,81,2025-03-31
553,location 798,0,severity_type 1,resource_type 8,2,2,2,2,53,26.5,38,15,2025-02-11
10390,location 1052,1,severity_type 1,resource_type 8,2,2,3,3,14,4.666666666666667,12,1,2025-06-10
5056,location 122,0,severity_type 2,resource_type 2,2,2,4,4,10,2.5,4,1,2025-09-01
10503,location 157,0,severity_type 2,resource_type 2,2,2,2,2,4,2.0,3,1,2025-08-27
1835,location 802,1,severity_type 1,resource_type 8,3,3,4,4,10,2.5,3,2,2025-06-21
10085,location 242,0,severity_type 2,resource_type 2,2,2,6,6,393,65.5,71,57,2025-11-09
13807,location 893,0,severity_type 1,resource_type 2,3,3,8,8,139,17.375,32,3,2025-07-26
11318,location 457,0,severity_type 2,resource_type 2,2,2,7,7,86,12.285714285714286,35,2,2025-01-29
533,location 99,0,severity_type 4,resource_type 2,1,1,1,1,1,1.0,1,1,2025-10-07
10538,location 839,1,severity_type 1,resource_type 8,1,1,3,3,90,30.0,49,1,2025-07-29
11549,location 719,0,severity_type 1,resource_type 2,1,1,1,1,1,1.0,1,1,2025-08-20
16900,location 793,0,severity_type 1,resource_type 8,1,1,2,2,13,6.5,11,2,2025-07-26
599,location 1109,0,severity_type 1,resource_type 2,1,1,1,1,1,1.0,1,1,2025-07-22
11700,location 648,0,severity_type 1,resource_type 4,3,3,3,3,7,2.333333333333333,3,1,2025-02-03
18331,location 957,0,severity_type 2,resource_type 8,1,1,1,1,1,1.0,1,1,2025-07-24
5381,location 600,2,severity_type 2,resource_type 8,1,1,2,2,22,11.0,14,8,2025-10-18
13638,location 665,0,severity_type 1,resource_type 8,1,1,2,2,32,16.0,16,16,2025-04-21
2703,location 846,0,severity_type 2,resource_type 8,1,1,1,1,2,2.0,2,2,2025-08-09
13686,location 1107,0,severity_type 2,resource_type 8,1,1,4,4,44,11.0,32,1,2025-01-12
6240,location 1052,2,severity_type 1,resource_type 2,2,2,4,4,10,2.5,4,1,2025-05-07
8546,location 1107,0,severity_type 1,resource_type 8,2,2,4,4,226,56.5,148,7,2025-06-09
4578,location 948,0,severity_type 2,resource_type 8,1,1,2,2,2,1.0,1,1,2025-12-25
15870,location 646,0,severity_type 1,resource_type 8,1,1,3,3,22,7.333333333333333,10,2,2025-03-20
17084,location 302,0,severity_type 4,resource_type 2,1,1,1,1,1,1.0,1,1,2025-04-11
4114,location 273,0,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-05-30
8011,location 1,0,severity_type 2,resource_type 8,1,1,1,1,7,7.0,7,7,2025-12-29
6588,location 124,0,severity_type 2,resource_type 2,2,2,6,6,18,3.0,5,2,2025-11-08
12490,location 704,2,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-01-13
3975,location 476,0,severity_type 2,resource_type 2,2,2,8,8,99,12.375,40,2,2025-03-27
4720,location 152,0,severity_type 2,resource_type 2,2,2,2,2,5,2.5,3,2,2025-10-27
15209,location 734,0,severity_type 1,resource_type 8,2,2,3,3,11,3.6666666666666665,5,2,2025-01-22
6092,location 1076,1,severity_type 2,resource_type 8,1,1,2,2,2,1.0,1,1,2025-11-09
9426,location 798,0,severity_type 1,resource_type 8,2,2,2,2,29,14.5,17,12,2025-04-13
2307,location 520,0,severity_type 2,resource_type 2,2,2,2,2,23,11.5,12,11,2025-12-01
13291,location 1046,0,severity_type 1,resource_type 8,2,2,3,3,5,1.6666666666666667,2,1,2025-04-18
17245,location 803,1,severity_type 2,resource_type 8,1,1,3,3,3,1.0,1,1,2025-06-08
11726,location 963,0,severity_type 1,resource_type 8,1,1,3,3,450,150.0,203,118,2025-08-30
15486,location 821,0,severity_type 1,resource_type 8,2,2,6,6,18,3.0,8,1,2025-02-16
9033,location 1061,2,severity_type 1,resource_type 8,2,2,2,2,10,5.0,6,4,2025-07-23
9959,location 714,0,severity_type 1,resource_type 8,2,2,4,4,10,2.5,4,1,2025-07-04
3798,location 242,0,severity_type 2,resource_type 2,2,2,6,6,147,24.5,33,13,2025-10-14
15624,location 613,1,severity_type 1,resource_type 8,3,3,4,4,23,5.75,6,5,2025-12-30
5995,location 91,0,severity_type 2,resource_type 2,2,2,7,7,7,1.0,1,1,2025-08-31
9644,location 1007,0,severity_type 1,resource_type 8,2,2,2,2,6,3.0,3,3,2025-05-30
10779,location 300,0,severity_type 2,resource_type 2,2,2,6,6,44,7.333333333333333,14,1,2025-05-29
9734,location 272,1,severity_type 2,resource_type 2,2,2,5,5,5,1.0,1,1,2025-06-02
14954,location 1106,1,severity_type 1,resource_type 8,1,1,2,2,31,15.5,18,13,2025-10-25
15493,location 611,0,severity_type 1,resource_type 2,1,1,2,2,4,2.0,2,2,2025-04-28
6222,location 724,1,severity_type 1,resource_type 8,1,1,2,2,3,1.5,2,1,2025-03-02
17390,location 173,1,severity_type 2,resource_type 2,1,1,2,2,2,1.0,1,1,2025-05-03
6826,location 943,1,severity_type 1,resource_type 8,1,1,2,2,3,1.5,2,1,2025-01-09
8611,location 821,2,severity_type 1,resource_type 8,2,2,6,6,30,5.0,21,1,2025-02-08
9087,location 795,0,severity_type 2,resource_type 8,1,1,2,2,19,9.5,13,6,2025-02-02
17472,location 733,1,severity_type 1,resource_type 8,1,1,4,4,5,1.25,2,1,2025-10-09
12760,location 249,0,severity_type 2,resource_type 2,2,2,2,2,6,3.0,4,2,2025-09-21
4963,location 704,2,severity_type 2,resource_type 8,1,1,2,2,26,13.0,17,9,2025-09-12
6225,location 821,1,severity_type 1,resource_type 8,3,3,8,8,62,7.75,37,1,2025-06-18
7959,location 802,0,severity_type 1,resource_type 6,1,1,1,1,2,2.0,2,2,2025-09-19
1773,location 957,1,severity_type 1,resource_type 2,2,2,4,4,7,1.75,3,1,2025-02-28
6136,location 408,1,severity_type 2,resource_type 2,2,2,6,6,10,1.6666666666666667,2,1,2025-11-25
5965,location 723,1,severity_type 1,resource_type 8,1,1,2,2,4,2.0,2,2,2025-07-02
5390,location 255,0,severity_type 2,resource_type 2,2,2,2,2,7,3.5,4,3,2025-12-09
13663,location 655,2,severity_type 1,resource_type 8,4,4,8,8,292,36.5,133,3,2025-02-25
4501,location 888,0,severity_type 1,resource_type 2,1,1,2,2,3,1.5,2,1,2025-07-01
13442,location 704,1,severity_type 2,resource_type 8,1,1,3,3,14,4.666666666666667,8,2,2025-09-12
6958,location 989,0,severity_type 2,resource_type 8,1,1,1,1,1,1.0,1,1,2025-06-30
16339,location 1015,0,severity_type 1,resource_type 8,1,1,2,2,8,4.0,4,4,2025-06-12
9372,location 1019,0,severity_type 1,resource_type 8,2,2,6,6,58,9.666666666666666,22,2,2025-03-02
5576,location 692,1,severity_type 1,resource_type 8,1,1,3,3,4,1.3333333333333333,2,1,2025-05-20
663,location 653,0,severity_type 1,resource_type 2,2,2,4,4,43,10.75,27,1,2025-03-29
1473,location 945,1,severity_type 1,resource_type 8,1,1,2,2,6,3.0,4,2,2025-04-21
949,location 651,0,severity_type 1,resource_type 8,1,1,3,3,3,1.0,1,1,2025-09-07
10513,location 1106,0,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-08-19
14289,location 763,1,severity_type 1,resource_type 8,1,1,2,2,4,2.0,2,2,2025-08-10
15260,location 416,0,severity_type 4,resource_type 2,1,1,1,1,2,2.0,2,2,2025-05-13
9812,location 830,0,severity_type 1,resource_type 8,1,1,2,2,197,98.5,108,89,2025-12-17
4916,location 704,2,severity_type 2,resource_type 8,1,1,3,3,22,7.333333333333333,14,4,2025-02-01
17515,location 1024,2,severity_type 1,resource_type 8,1,1,2,2,14,7.0,7,7,2025-05-06
17388,location 497,0,severity_type 2,resource_type 2,2,2,2,2,6,3.0,4,2,2025-02-13
4450,location 890,0,severity_type 2,resource_type 8,1,1,1,1,3,3.0,3,3,2025-05-04
16258,location 849,0,severity_type 2,resource_type 8,1,1,2,2,18,9.0,13,5,2025-12-18
10528,location 208,0,severity_type 1,resource_type 2,2,2,5,5,5,1.0,1,1,2025-05-14
4003,location 255,1,severity_type 2,resource_type 2,2,2,3,3,6,2.0,3,1,2025-11-28
3954,location 139,1,severity_type 1,resource_type 2,2,2,6,6,7,1.1666666666666667,2,1,2025-06-30
13945,location 914,1,severity_type 1,resource_type 4,3,3,3,3,3,1.0,1,1,2025-09-13
15607,location 326,0,severity_type 1,resource_type 2,1,1,2,2,4,2.0,2,2,2025-06-16
11897,location 937,0,severity_type 1,resource_type 8,1,1,4,4,20,5.0,16,1,2025-04-08
12609,location 1086,0,severity_type 2,resource_type 8,1,1,1,1,10,10.0,10,10,2025-10-06
10122,location 506,0,severity_type 2,resource_type 2,2,2,15,15,261,17.4,54,1,2025-12-20
7886,location 149,0,severity_type 4,resource_type 2,1,1,3,3,3,1.0,1,1,2025-04-07
15771,location 846,0,severity_type 2,resource_type 8,1,1,1,1,8,8.0,8,8,2025-10-12
17681,location 865,0,severity_type 1,resource_type 8,1,1,1,1,2,2.0,2,2,2025-04-06
15863,location 925,2,severity_type 1,resource_type 8,1,1,2,2,20,10.0,12,8,2025-09-19
17690,location 798,1,severity_type 2,resource_type 8,1,1,2,2,11,5.5,6,5,2025-10-15
8606,location 243,0,severity_type 2,resource_type 2,2,2,6,6,284,47.333333333333336,67,36,2025-06-14
11362,location 193,0,severity_type 2,resource_type 2,2,2,2,2,2,1.0,1,1,2025-09-26
4604,location 723,0,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-04-10
5480,location 471,0,severity_type 2,resource_type 2,2,2,6,6,27,4.5,8,2,2025-01-29
12277,location 1107,2,severity_type 1,resource_type 8,2,2,8,8,225,28.125,129,4,2025-02-05
1400,location 375,0,severity_type 2,resource_type 2,2,2,2,2,10,5.0,5,5,2025-06-13
6687,location 91,0,severity_type 2,resource_type 2,2,2,2,2,564,282.0,289,275,2025-11-26
11153,location 1047,0,severity_type 2,resource_type 8,1,1,1,1,2,2.0,2,2,2025-02-16
8313,location 798,2,severity_type 2,resource_type 8,1,1,2,2,64,32.0,37,27,2025-06-16
5787,location 490,0,severity_type 2,resource_type 2,2,2,2,2,2,1.0,1,1,2025-09-14
741,location 1051,0,severity_type 1,resource_type 8,1,1,2,2,3,1.5,2,1,2025-03-15
16502,location 763,0,severity_type 2,resource_type 8,1,1,1,1,12,12.0,12,12,2025-09-21
4036,location 896,0,severity_type 1,resource_type 2,3,3,6,6,41,6.833333333333333,11,2,2025-04-22
5029,location 1011,0,severity_type 1,resource_type 2,1,1,2,2,2,1.0,1,1,2025-10-23
18158,location 834,1,severity_type 2,resource_type 8,1,1,2,2,8,4.0,4,4,2025-07-31
18441,location 118,0,severity_type 2,resource_type 2,2,2,2,2,30,15.0,16,14,2025-07-19
4268,location 97,0,severity_type 4,resource_type 2,1,1,2,2,4,2.0,2,2,2025-03-06
4092,location 1019,0,severity_type 1,resource_type 8,2,2,3,3,21,7.0,12,2,2025-06-19
16819,location 226,0,severity_type 4,resource_type 2,1,1,2,2,2,1.0,1,1,2025-11-09
7774,location 962,2,severity_type 2,resource_type 8,1,1,2,2,14,7.0,10,4,2025-01-08
5824,location 885,0,severity_type 2,resource_type 8,1,1,4,4,6,1.5,2,1,2025-10-04
7295,location 821,1,severity_type 1,resource_type 8,2,2,5,5,18,3.6,6,1,2025-06-29
18146,location 812,0,severity_type 1,resource_type 8,1,1,3,3,407,135.66666666666666,233,2,2025-09-20
17409,location 816,2,severity_type 1,resource_type 8,4,4,8,8,310,38.75,154,3,2025-08-31
6095,location 638,0,severity_type 4,resource_type 2,3,3,3,3,9,3.0,4,1,2025-06-07
9032,location 945,0,severity_type 1,resource_type 8,1,1,2,2,11,5.5,6,5,2025-04-23
5210,location 468,0,severity_type 2,resource_type 2,2,2,2,2,17,8.5,12,5,2025-08-17
11177,location 380,0,severity_type 2,resource_type 2,2,2,2,2,7,3.5,4,3,2025-02-21
12324,location 1109,1,severity_type 1,resource_type 8,2,2,2,2,4,2.0,2,2,2025-08-02
1697,location 1122,0,severity_type 1,resource_type 2,1,1,1,1,1,1.0,1,1,2025-02-04
3106,location 1098,1,severity_type 2,resource_type 8,1,1,1,1,1,1.0,1,1,2025-08-26
7824,location 376,0,severity_type 1,resource_type 2,3,3,4,4,4,1.0,1,1,2025-08-18
2588,location 1,0,severity_type 1,resource_type 8,2,2,4,4,34,8.5,15,5,2025-01-31
13644,location 303,0,severity_type 4,resource_type 2,1,1,1,1,1,1.0,1,1,2025-10-04
13082,location 126,0,severity_type 2,resource_type 2,2,2,8,8,177,22.125,72,3,2025-06-01
8150,location 520,0,severity_type 2,resource_type 2,2,2,2,2,19,9.5,10,9,2025-10-15
6234,location 734,0,severity_type 1,resource_type 8,2,2,4,4,45,11.25,23,5,2025-01-16
10350,location 507,0,severity_type 2,resource_type 2,2,2,4,4,50,12.5,27,2,2025-03-07
13538,location 709,0,severity_type 1,resource_type 8,1,1,2,2,4,2.0,2,2,2025-06-30
2338,location 466,0,severity_type 2,resource_type 2,2,2,2,2,3,1.5,2,1,2025-03-10
17947,location 466,0,severity_type 2,resource_type 2,2,2,13,13,37,2.8461538461538463,6,1,2025-05-01
9786,location 12,0,severity_type 2,resource_type 8,1,1,2,2,2,1.0,1,1,2025-08-30
9514,location 1102,0,severity_type 2,resource_type 8,1,1,1,1,2,2.0,2,2,2025-02-22
13670,location 998,0,severity_type 2,resource_type 8,1,1,1,1,1,1.0,1,1,2025-09-05
15482,location 727,0,severity_type 1,resource_type 8,1,1,2,2,2,1.0,1,1,2025-02-07
12517,location 76,1,severity_type 1,resource_type 8,1,1,2,2,3,1.5,2,1,2025-03-05
411,location 734,1,severity_type 1,resource_type 8,2,2,6,6,33,5.5,18,1,2025-08-03
10237,location 830,0,severity_type 1,resource_type 8,1,1,2,2,32,16.0,31,1,2025-10-17
12734,location 798,0,severity_type 1,resource_type 8,2,2,2,2,24,12.0,18,6,2025-03-04
10863,location 309,0,severity_type 2,resource_type 2,2,2,2,2,6,3.0,4,2,2025-04-20
11390,location 737,0,severity_type 2,resource_type 8,1,1,1,1,2,2.0,2,2,2025-12-04
5260,location 1111,0,severity_type 1,resource_type 8,1,1,3,3,4,1.3333333333333333,2,1,2025-12-28
8244,location 314,1,severity_type 2,resource_type 2,2,2,2,2,4,2.0,2,2,2025-08-01
4161,location 1023,1,severity_type 1,resource_type 9,1,1,2,2,2,1.0,1,1,2025-06-13
16354,location 658,0,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-05-07
15236,location 477,0,severity_type 2,resource_type 2,2,2,4,4,113,28.25,48,9,2025-08-12
14877,location 990,0,severity_type 1,resource_type 8,1,1,2,2,8,4.0,4,4,2025-08-04
4810,location 445,0,severity_type 2,resource_type 2,2,2,2,2,16,8.0,9,7,2025-04-18
4637,location 618,0,severity_type 4,resource_type 7,1,1,1,1,2,2.0,2,2,2025-01-09
14124,location 758,1,severity_type 1,resource_type 8,1,1,1,1,1,1.0,1,1,2025-02-25
4737,location 488,0,severity_type 2,resource_type 2,2,2,4,4,31,7.75,19,2,2025-12-16
5377,location 643,1,severity_type 1,resource_type 2,2,2,3,3,4,1.3333333333333333,2,1,2025-06-02
14696,location 834,0,severity_type 2,resource_type 8,1,1,2,2,42,21.0,24,18,2025-06-26
2880,location 607,1,severity_type 1,resource_type 4,3,3,4,4,13,3.25,4,3,2025-06-20
17021,location 141,0,severity_type 4,resource_type 2,1,1,3,3,3,1.0,1,1,2025-10-13
11043,location 497,0,severity_type 2,resource_type 2,2,2,4,4,154,38.5,54,27,2025-01-24
6,location 332,1,severity_type 2,resource_type 2,1,1,2,2,2,1.0,1,1,2025-01-31
2380,location 821,1,severity_type 1,resource_type 8,2,2,3,3,21,7.0,13,3,2025-04-11
6563,location 794,0,severity_type 1,resource_type 7,4,4,4,4,6,1.5,2,1,2025-06-27
2273,location 814,0,severity_type 1,resource_type 8,1,1,2,2,28,14.0,15,13,2025-09-02
